Site,X east,Y north,Z height
ARAO_sz,,,403
ARA1_sz,53,160,411
ARA2_sz,77,-121,392
ARA3.sz,-149,-30,402
ARB1_sz,82,336,414
ARB2.sz,294,97,397
ARB.3.sz,189,-269,376
ARB4_sz,-231,-225,378
ARB5.sz,-283,158,405
ARC1_sz,81,690,381
ARC2.sz,664,387,395
ARC3.sz,673,-214,376
ARC4.sz,229,616,377
ARC5.sz,-296,-538,374
ARC6.sz,-683,-81,395
ARC7_sz,471,530,362
ARD1_sz,135,1491,395
ARD2.sz,972,1143,366
ARD3.sz,1651,188,331
ARD4_sz,1181,-858,371
ARD5.SZ,233,-1494,351
ARD6_sz,613,-1347,413
ARD7.sz,-1360,607,413
ARD8.sz,-1443,392,368
ARD9.sz,-778,1173,359
